Exit code: 0
Wall time: 0.2 seconds
Output:
epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.85049,0.84554,3.24786,1.06319,0.00318,0.95455,0.51547,0.45093,0.51844,3.42421,0.78568,0.00026,0.00026,0.00026
2,6.85871,0.61225,1.86892,0.92257,0.00303,0.90909,0.26282,0.21387,0.58859,3.68639,0.88385,0.000537327,0.000537327,0.000537327
3,8.80356,0.66815,1.67576,0.93334,1,0.21796,0.48189,0.39684,0.67341,3.63467,0.85003,0.000811882,0.000811882,0.000811882
4,10.7235,0.72169,1.59553,0.96124,1,0.16263,0.54842,0.47114,0.60924,3.36233,0.86738,0.00108366,0.00108366,0.00108366
5,12.6111,0.66521,1.39441,0.93469,0.52301,0.31818,0.35761,0.31066,0.65469,3.24322,0.87951,0.00135268,0.00135268,0.00135268
6,14.5406,0.72046,1.39468,0.95305,0.31592,0.22727,0.15358,0.11094,0.69409,6.49666,0.93946,0.00161892,0.00161892,0.00161892
7,16.3772,0.75835,1.41914,1.0108,0.54154,0.53723,0.55779,0.48266,0.68796,2.8208,0.88004,0.00188238,0.00188238,0.00188238
8,18.2451,0.74754,1.28139,0.95479,0.59945,0.68182,0.56998,0.44071,0.81244,2.56629,1.02454,0.0019307,0.0019307,0.0019307
9,20.0733,0.77496,1.26287,1.00724,0.18793,0.68182,0.17872,0.1424,0.73236,2.82385,0.9508,0.0019208,0.0019208,0.0019208
10,21.9437,0.76584,1.24472,1.02678,0.93184,0.81818,0.88471,0.75282,0.70812,1.63641,0.92593,0.0019109,0.0019109,0.0019109
11,23.797,0.72202,1.11661,0.9713,0.91195,0.94201,0.96005,0.8039,0.63066,1.3681,0.90761,0.001901,0.001901,0.001901
12,25.7009,0.67538,0.99307,0.95085,0.883,0.77273,0.87557,0.75119,0.59266,1.5614,0.92852,0.0018911,0.0018911,0.0018911
13,27.5516,0.68634,1.03442,0.95164,0.81746,0.95455,0.89899,0.78866,0.56936,1.56185,0.87348,0.0018812,0.0018812,0.0018812
14,29.4291,0.66673,0.9909,0.95671,0.84489,0.95455,0.90759,0.80886,0.52986,1.34932,0.87946,0.0018713,0.0018713,0.0018713
15,31.3096,0.64275,0.8873,0.94458,0.87191,0.92874,0.96291,0.83058,0.58314,1.21846,0.87634,0.0018614,0.0018614,0.0018614
16,33.1965,0.60971,0.80613,0.92742,0.95439,1,0.98717,0.84991,0.52789,0.91812,0.86942,0.0018515,0.0018515,0.0018515
17,35.0424,0.62455,0.80859,0.94007,0.99498,1,0.995,0.88203,0.57243,0.81557,0.88521,0.0018416,0.0018416,0.0018416
18,36.9159,0.66774,0.81481,0.96883,0.91531,0.983,0.98939,0.82232,0.55835,0.87588,0.91253,0.0018317,0.0018317,0.0018317
19,38.7466,0.60161,0.74735,0.93185,0.90347,0.90909,0.9682,0.8406,0.55645,0.92599,0.88655,0.0018218,0.0018218,0.0018218
20,40.5894,0.59262,0.70005,0.92648,0.99602,0.95455,0.9902,0.91725,0.45866,0.72043,0.86454,0.0018119,0.0018119,0.0018119
21,42.428,0.58419,0.68109,0.92217,0.97359,0.95455,0.99326,0.91333,0.41673,0.71983,0.85292,0.001802,0.001802,0.001802
22,44.2634,0.58222,0.68597,0.9174,0.94777,0.90909,0.93923,0.84594,0.4645,0.97114,0.8705,0.0017921,0.0017921,0.0017921
23,46.0826,0.60155,0.6696,0.92969,0.99065,1,0.995,0.8811,0.49008,0.62504,0.88305,0.0017822,0.0017822,0.0017822
24,47.9469,0.61072,0.6569,0.92411,0.99189,1,0.995,0.9045,0.47886,0.68179,0.86088,0.0017723,0.0017723,0.0017723
25,49.7636,0.57232,0.61451,0.90022,1,0.99603,0.995,0.91464,0.49898,0.66919,0.85646,0.0017624,0.0017624,0.0017624
26,51.616,0.58701,0.63482,0.92184,0.99817,1,0.995,0.87004,0.49695,0.60516,0.8663,0.0017525,0.0017525,0.0017525
